rmse,mae,mape,r2,model,n_test
44135.1016237728,31387.516383518017,4.7762184896862205,0.957466568176456,xgboost_v1,17507
47861.23582976315,33577.90632411471,5.0675601908518555,0.9499815786990057,random_forest_v1,17507
49707.70538605638,35657.01813569227,5.404077480774867,0.9460477458068465,lightgbm_v1,17507
86914.34474225598,60721.23943938261,9.220997277489138,0.8350527481998158,linear_regression_v1,17507
86917.0072241516,60723.353029757534,9.221421818470018,0.8350426422547138,ridge_v1,17507
272241.6010968979,204543.47456445993,27.387269905016865,-0.6183451252884626,median_baseline_v1,17507
