rmse,mae,mape,r2,model,n_test
38710.895967331984,27236.5887854858,4.165743844931641,0.9672788461436387,xgboost_v2,17507
41660.670089943815,28693.415672969215,4.357769812387904,0.9621021418749794,random_forest_v2,17507
42895.9071179302,30547.129478280593,4.66494685129717,0.9598214854756018,lightgbm_v2,17507
78161.64701777238,54114.64611982146,8.25108017812813,0.866601923335867,ridge_v2,17507
78166.77764279072,54120.3796581811,8.252101791736099,0.8665844099389883,linear_regression_v2,17507
272241.6010968979,204543.47456445993,27.387269905016865,-0.6183451252884626,median_baseline_v2,17507
