model,version,rmse,mae,mape,r2,n_test
xgboost_v1,v1,44135.1016237728,31387.516383518017,4.7762184896862205,0.957466568176456,17507
random_forest_v1,v1,47861.23582976315,33577.90632411471,5.067560190851856,0.9499815786990056,17507
lightgbm_v1,v1,49707.70538605638,35657.01813569227,5.404077480774867,0.9460477458068464,17507
linear_regression_v1,v1,86914.34474225598,60721.23943938261,9.220997277489138,0.8350527481998158,17507
ridge_v1,v1,86917.0072241516,60723.353029757534,9.221421818470018,0.8350426422547138,17507
median_baseline_v1,v1,272241.6010968979,204543.47456445996,27.387269905016865,-0.6183451252884626,17507
xgboost_v2,v2,38710.895967331984,27236.5887854858,4.165743844931641,0.9672788461436388,17507
random_forest_v2,v2,41660.670089943815,28693.41567296921,4.357769812387904,0.9621021418749794,17507
lightgbm_v2,v2,42895.9071179302,30547.129478280596,4.66494685129717,0.9598214854756018,17507
ridge_v2,v2,78161.64701777238,54114.64611982146,8.25108017812813,0.866601923335867,17507
linear_regression_v2,v2,78166.77764279072,54120.3796581811,8.252101791736099,0.8665844099389883,17507
median_baseline_v2,v2,272241.6010968979,204543.47456445996,27.387269905016865,-0.6183451252884626,17507
